timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Connect
1659518021434,507,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,507,0
1659518021418,523,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,523,0
1659518021509,451,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,451,0
1659518021309,660,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-31,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,660,0
1659518021600,376,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,376,0
1659518021447,539,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-37,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,539,0
1659518021621,377,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,377,0
1659518021441,561,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,561,118
1659518021666,372,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,372,0
1659518021665,463,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-32,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,463,0
1659518021476,723,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,723,0
1659518021690,514,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,514,0
1659518021695,518,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,518,0
1659518021621,600,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-38,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,600,123
1659518021603,630,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,630,0
1659518021893,386,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,386,0
1659518021710,581,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-34,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,581,119
1659518021601,701,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,701,119
1659518021690,658,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-33,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,658,119
1659518021941,445,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,445,0
1659518021703,701,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-36,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,701,123
1659518021784,668,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-30,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,668,117
1659518021937,548,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,548,0
1659518020622,1887,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-40,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,1887,0
1659518020797,1719,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,1719,0
1659518021976,595,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,595,131
1659518022002,575,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,575,0
1659518021918,660,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-24,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,660,118
1659518022199,423,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,423,0
1659518021998,635,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,635,120
1659518022233,416,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,416,0
1659518022135,577,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-32,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,577,132
1659518021960,755,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,755,0
1659518021941,794,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,794,0
1659518022516,331,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,331,0
1659518022302,557,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,557,0
1659518021986,873,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-37,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,873,0
1659518022510,353,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-40,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,353,0
1659518022221,649,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-38,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,649,0
1659518022279,591,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,591,121
1659518022452,427,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-30,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,427,0
1659518022291,601,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-34,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,601,0
1659518022348,544,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-33,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,544,0
1659518022386,510,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,510,116
1659518022404,515,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-36,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,515,0
1659518022213,716,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,716,0
